ID	RA	DEC	za	Log Lbolb	Log Mc	Log LIRd	SFRe	FIELD
 C1591* 	10 01 43 	+02 33 31 	1.238 	45.7 	11.3 	12.6 	362 	COSMOS 
 C92* 	10 01 09 	+02 22 55 	1.581 	45.4 	11.2 	12.8 	740 	COSMOS 
 no. 226 	03 32 16 	−27 49 00 	1.413 	42.8 	10.9 	12.2 	146 	CDFS 
 X5308 	09 59 22 	+01 36 18 	1.285 	45.5 	11.0 	12.0 	104 	COSMOS 
 X2522 	09 57 28 	+02 25 42 	1.532 	46.3 	11.3 	12.5 	290 	COSMOS 
 C1148 	10 00 04 	+02 13 07 	1.563 	46.8 	11.1 	12.2 	153 	COSMOS 
 C488 	10 01 47 	+02 02 37 	1.171 	45.4 	10.3 	11.6 	42 	COSMOS 
 C152 	10 00 39 	+02 37 19 	1.188 	45.5 	10.4 	11.5 	30 	COSMOS 
 C103 	10 01 10 	+02 27 17 	1.433 	45.1 	10.7 	11.8 	62 	COSMOS 
 no. 682 	03 32 59 	−27 45 22 	1.155 	43.4 	10.6 	11.9 	77 	CDFS